symbol,name,price,marketcap,year,industry,description,linkToSmth,smthing,keywords,enhanced_description
VCVC,10X Capital Venture Acquisition Corp,10.68,$268.67M,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/vcvc,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
VCVCU,10X Capital Venture Acquisition Corp,11.65,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
VCVCW,10X Capital Venture Acquisition Corp,2.4,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
TXG,"10x Genomics, Inc.",187.0,$20.12B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,,"biotechnology, analytical instruments, mass spectrometry, chromatography, LC-MS, automation, data analytics, regulatory approval, funding, partnerships","Biotechnology: Laboratory Analytical Instruments biotechnology, analytical instruments, mass spectrometry, chromatography, LC-MS, automation, data analytics, regulatory approval, funding, partnerships"
YI,"111, Inc.",11.9,$980.08M,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,,"home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy","Medical/Nursing Services home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy"
YQ,17 Education & Technology Group Inc.,16.9,$3.17B,2020.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/yq,,"earnings, revenue, same-store-sales, guidance, acquisitions, partnerships, regulation, store openings, online-sales, margins","Other Consumer Services earnings, revenue, same-store-sales, guidance, acquisitions, partnerships, regulation, store openings, online-sales, margins"
TURN,180 Degree Capital Corp.,6.61,$68.57M,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,,"earnings, revenue, guidance, acquisition, merger, regulation, compliance, licensing, fintech, profitability","Finance/Investors Services earnings, revenue, guidance, acquisition, merger, regulation, compliance, licensing, fintech, profitability"
ATNF,180 Life Sciences Corp.,3.88,$94.67M,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnf,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
ATNFW,180 Life Sciences Corp.,0.4402,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnfw,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
FLWS,"1-800-FLOWERS.COM, Inc.",31.67,$2.06B,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,,"retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer","Other Specialty Stores retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer"
